Coarse-Grained Algorithm:

Number of distinct colours used: 71

timetaken in microseconds= 179909μs
timetaken in milliseconds= 179.909milli seconds

Assigned colours:
vertex-1 colour-6
vertex-2 colour-34
vertex-3 colour-37
vertex-4 colour-33
vertex-5 colour-1
vertex-6 colour-35
vertex-7 colour-23
vertex-8 colour-18
vertex-9 colour-32
vertex-10 colour-1
vertex-11 colour-17
vertex-12 colour-11
vertex-13 colour-22
vertex-14 colour-25
vertex-15 colour-26
vertex-16 colour-21
vertex-17 colour-27
vertex-18 colour-2
vertex-19 colour-21
vertex-20 colour-21
vertex-21 colour-25
vertex-22 colour-14
vertex-23 colour-44
vertex-24 colour-14
vertex-25 colour-20
vertex-26 colour-31
vertex-27 colour-34
vertex-28 colour-4
vertex-29 colour-32
vertex-30 colour-2
vertex-31 colour-26
vertex-32 colour-46
vertex-33 colour-2
vertex-34 colour-25
vertex-35 colour-24
vertex-36 colour-23
vertex-37 colour-17
vertex-38 colour-23
vertex-39 colour-27
vertex-40 colour-1
vertex-41 colour-24
vertex-42 colour-29
vertex-43 colour-22
vertex-44 colour-1
vertex-45 colour-3
vertex-46 colour-27
vertex-47 colour-4
vertex-48 colour-17
vertex-49 colour-1
vertex-50 colour-2
vertex-51 colour-22
vertex-52 colour-29
vertex-53 colour-41
vertex-54 colour-20
vertex-55 colour-22
vertex-56 colour-15
vertex-57 colour-20
vertex-58 colour-16
vertex-59 colour-23
vertex-60 colour-18
vertex-61 colour-3
vertex-62 colour-5
vertex-63 colour-14
vertex-64 colour-22
vertex-65 colour-3
vertex-66 colour-3
vertex-67 colour-1
vertex-68 colour-16
vertex-69 colour-30
vertex-70 colour-9
vertex-71 colour-4
vertex-72 colour-43
vertex-73 colour-19
vertex-74 colour-24
vertex-75 colour-21
vertex-76 colour-31
vertex-77 colour-47
vertex-78 colour-4
vertex-79 colour-13
vertex-80 colour-15
vertex-81 colour-3
vertex-82 colour-4
vertex-83 colour-2
vertex-84 colour-30
vertex-85 colour-47
vertex-86 colour-28
vertex-87 colour-4
vertex-88 colour-2
vertex-89 colour-35
vertex-90 colour-46
vertex-91 colour-21
vertex-92 colour-20
vertex-93 colour-5
vertex-94 colour-48
vertex-95 colour-27
vertex-96 colour-25
vertex-97 colour-29
vertex-98 colour-10
vertex-99 colour-5
vertex-100 colour-18
vertex-101 colour-32
vertex-102 colour-23
vertex-103 colour-45
vertex-104 colour-29
vertex-105 colour-9
vertex-106 colour-32
vertex-107 colour-35
vertex-108 colour-27
vertex-109 colour-37
vertex-110 colour-11
vertex-111 colour-3
vertex-112 colour-3
vertex-113 colour-24
vertex-114 colour-30
vertex-115 colour-20
vertex-116 colour-49
vertex-117 colour-4
vertex-118 colour-27
vertex-119 colour-2
vertex-120 colour-40
vertex-121 colour-32
vertex-122 colour-43
vertex-123 colour-42
vertex-124 colour-25
vertex-125 colour-8
vertex-126 colour-5
vertex-127 colour-2
vertex-128 colour-3
vertex-129 colour-13
vertex-130 colour-40
vertex-131 colour-24
vertex-132 colour-3
vertex-133 colour-2
vertex-134 colour-4
vertex-135 colour-23
vertex-136 colour-26
vertex-137 colour-32
vertex-138 colour-5
vertex-139 colour-48
vertex-140 colour-37
vertex-141 colour-22
vertex-142 colour-47
vertex-143 colour-21
vertex-144 colour-39
vertex-145 colour-17
vertex-146 colour-29
vertex-147 colour-12
vertex-148 colour-32
vertex-149 colour-22
vertex-150 colour-46
vertex-151 colour-44
vertex-152 colour-6
vertex-153 colour-16
vertex-154 colour-24
vertex-155 colour-16
vertex-156 colour-35
vertex-157 colour-28
vertex-158 colour-25
vertex-159 colour-33
vertex-160 colour-6
vertex-161 colour-6
vertex-162 colour-25
vertex-163 colour-6
vertex-164 colour-11
vertex-165 colour-24
vertex-166 colour-15
vertex-167 colour-7
vertex-168 colour-27
vertex-169 colour-28
vertex-170 colour-8
vertex-171 colour-17
vertex-172 colour-29
vertex-173 colour-4
vertex-174 colour-25
vertex-175 colour-7
vertex-176 colour-21
vertex-177 colour-24
vertex-178 colour-9
vertex-179 colour-34
vertex-180 colour-35
vertex-181 colour-20
vertex-182 colour-28
vertex-183 colour-22
vertex-184 colour-47
vertex-185 colour-1
vertex-186 colour-50
vertex-187 colour-22
vertex-188 colour-3
vertex-189 colour-3
vertex-190 colour-22
vertex-191 colour-25
vertex-192 colour-30
vertex-193 colour-19
vertex-194 colour-12
vertex-195 colour-28
vertex-196 colour-49
vertex-197 colour-33
vertex-198 colour-7
vertex-199 colour-26
vertex-200 colour-17
vertex-201 colour-17
vertex-202 colour-31
vertex-203 colour-43
vertex-204 colour-40
vertex-205 colour-50
vertex-206 colour-47
vertex-207 colour-36
vertex-208 colour-5
vertex-209 colour-48
vertex-210 colour-30
vertex-211 colour-6
vertex-212 colour-28
vertex-213 colour-14
vertex-214 colour-1
vertex-215 colour-20
vertex-216 colour-27
vertex-217 colour-43
vertex-218 colour-24
vertex-219 colour-2
vertex-220 colour-24
vertex-221 colour-29
vertex-222 colour-4
vertex-223 colour-14
vertex-224 colour-47
vertex-225 colour-1
vertex-226 colour-4
vertex-227 colour-46
vertex-228 colour-2
vertex-229 colour-26
vertex-230 colour-47
vertex-231 colour-23
vertex-232 colour-24
vertex-233 colour-21
vertex-234 colour-25
vertex-235 colour-23
vertex-236 colour-21
vertex-237 colour-37
vertex-238 colour-6
vertex-239 colour-7
vertex-240 colour-33
vertex-241 colour-18
vertex-242 colour-10
vertex-243 colour-15
vertex-244 colour-34
vertex-245 colour-33
vertex-246 colour-25
vertex-247 colour-32
vertex-248 colour-36
vertex-249 colour-42
vertex-250 colour-24
vertex-251 colour-22
vertex-252 colour-5
vertex-253 colour-5
vertex-254 colour-30
vertex-255 colour-50
vertex-256 colour-44
vertex-257 colour-26
vertex-258 colour-18
vertex-259 colour-4
vertex-260 colour-33
vertex-261 colour-49
vertex-262 colour-28
vertex-263 colour-48
vertex-264 colour-22
vertex-265 colour-8
vertex-266 colour-8
vertex-267 colour-23
vertex-268 colour-19
vertex-269 colour-1
vertex-270 colour-12
vertex-271 colour-21
vertex-272 colour-6
vertex-273 colour-6
vertex-274 colour-7
vertex-275 colour-20
vertex-276 colour-29
vertex-277 colour-28
vertex-278 colour-21
vertex-279 colour-41
vertex-280 colour-4
vertex-281 colour-23
vertex-282 colour-28
vertex-283 colour-5
vertex-284 colour-35
vertex-285 colour-22
vertex-286 colour-30
vertex-287 colour-33
vertex-288 colour-37
vertex-289 colour-9
vertex-290 colour-35
vertex-291 colour-16
vertex-292 colour-5
vertex-293 colour-26
vertex-294 colour-19
vertex-295 colour-26
vertex-296 colour-9
vertex-297 colour-5
vertex-298 colour-22
vertex-299 colour-36
vertex-300 colour-18
vertex-301 colour-6
vertex-302 colour-36
vertex-303 colour-19
vertex-304 colour-13
vertex-305 colour-33
vertex-306 colour-2
vertex-307 colour-23
vertex-308 colour-29
vertex-309 colour-28
vertex-310 colour-37
vertex-311 colour-36
vertex-312 colour-25
vertex-313 colour-37
vertex-314 colour-19
vertex-315 colour-46
vertex-316 colour-1
vertex-317 colour-34
vertex-318 colour-12
vertex-319 colour-20
vertex-320 colour-1
vertex-321 colour-24
vertex-322 colour-30
vertex-323 colour-44
vertex-324 colour-30
vertex-325 colour-26
vertex-326 colour-37
vertex-327 colour-44
vertex-328 colour-30
vertex-329 colour-17
vertex-330 colour-42
vertex-331 colour-35
vertex-332 colour-15
vertex-333 colour-7
vertex-334 colour-28
vertex-335 colour-34
vertex-336 colour-30
vertex-337 colour-10
vertex-338 colour-38
vertex-339 colour-49
vertex-340 colour-14
vertex-341 colour-50
vertex-342 colour-10
vertex-343 colour-26
vertex-344 colour-40
vertex-345 colour-3
vertex-346 colour-8
vertex-347 colour-24
vertex-348 colour-45
vertex-349 colour-36
vertex-350 colour-34
vertex-351 colour-22
vertex-352 colour-46
vertex-353 colour-11
vertex-354 colour-4
vertex-355 colour-30
vertex-356 colour-36
vertex-357 colour-29
vertex-358 colour-30
vertex-359 colour-7
vertex-360 colour-41
vertex-361 colour-37
vertex-362 colour-38
vertex-363 colour-3
vertex-364 colour-43
vertex-365 colour-31
vertex-366 colour-23
vertex-367 colour-11
vertex-368 colour-13
vertex-369 colour-4
vertex-370 colour-45
vertex-371 colour-7
vertex-372 colour-49
vertex-373 colour-34
