fine-grained algorithm:

Number of distinct colours used: 160

timetaken in microseconds= 998432μs
timetaken in milliseconds= 998.432milli seconds

Assigned colours:
vertex-1 colour-19
vertex-2 colour-5
vertex-3 colour-11
vertex-4 colour-2
vertex-5 colour-17
vertex-6 colour-8
vertex-7 colour-6
vertex-8 colour-14
vertex-9 colour-1
vertex-10 colour-22
vertex-11 colour-1
vertex-12 colour-1
vertex-13 colour-25
vertex-14 colour-10
vertex-15 colour-26
vertex-16 colour-2
vertex-17 colour-3
vertex-18 colour-9
vertex-19 colour-11
vertex-20 colour-12
vertex-21 colour-6
vertex-22 colour-4
vertex-23 colour-12
vertex-24 colour-5
vertex-25 colour-12
vertex-26 colour-5
vertex-27 colour-3
vertex-28 colour-15
vertex-29 colour-14
vertex-30 colour-1
vertex-31 colour-6
vertex-32 colour-13
vertex-33 colour-16
vertex-34 colour-17
vertex-35 colour-11
vertex-36 colour-9
vertex-37 colour-13
vertex-38 colour-3
vertex-39 colour-13
vertex-40 colour-17
vertex-41 colour-1
vertex-42 colour-15
vertex-43 colour-4
vertex-44 colour-19
vertex-45 colour-7
vertex-46 colour-15
vertex-47 colour-6
vertex-48 colour-20
vertex-49 colour-19
vertex-50 colour-18
vertex-51 colour-16
vertex-52 colour-13
vertex-53 colour-8
vertex-54 colour-23
vertex-55 colour-24
vertex-56 colour-9
vertex-57 colour-21
vertex-58 colour-9
vertex-59 colour-22
vertex-60 colour-5
vertex-61 colour-9
vertex-62 colour-21
vertex-63 colour-27
vertex-64 colour-15
vertex-65 colour-10
vertex-66 colour-10
vertex-67 colour-18
vertex-68 colour-20
vertex-69 colour-4
vertex-70 colour-19
vertex-71 colour-7
vertex-72 colour-27
vertex-73 colour-7
vertex-74 colour-2
vertex-75 colour-26
vertex-76 colour-28
vertex-77 colour-28
vertex-78 colour-6
vertex-79 colour-29
vertex-80 colour-26
vertex-81 colour-24
vertex-82 colour-22
vertex-83 colour-21
vertex-84 colour-5
vertex-85 colour-12
vertex-86 colour-6
vertex-87 colour-23
vertex-88 colour-28
vertex-89 colour-14
vertex-90 colour-18
vertex-91 colour-29
vertex-92 colour-34
vertex-93 colour-22
vertex-94 colour-23
vertex-95 colour-2
vertex-96 colour-9
vertex-97 colour-28
vertex-98 colour-8
vertex-99 colour-20
vertex-100 colour-31
vertex-101 colour-10
vertex-102 colour-35
vertex-103 colour-7
vertex-104 colour-7
vertex-105 colour-23
vertex-106 colour-22
vertex-107 colour-35
vertex-108 colour-3
vertex-109 colour-27
vertex-110 colour-30
vertex-111 colour-10
vertex-112 colour-8
vertex-113 colour-13
vertex-114 colour-11
vertex-115 colour-14
vertex-116 colour-26
vertex-117 colour-6
vertex-118 colour-12
vertex-119 colour-33
vertex-120 colour-20
vertex-121 colour-30
vertex-122 colour-32
vertex-123 colour-31
vertex-124 colour-17
vertex-125 colour-14
vertex-126 colour-25
vertex-127 colour-16
vertex-128 colour-16
vertex-129 colour-39
vertex-130 colour-26
vertex-131 colour-8
vertex-132 colour-19
vertex-133 colour-38
vertex-134 colour-27
vertex-135 colour-27
vertex-136 colour-34
vertex-137 colour-36
vertex-138 colour-27
vertex-139 colour-18
vertex-140 colour-37
vertex-141 colour-29
vertex-142 colour-37
vertex-143 colour-32
vertex-144 colour-37
vertex-145 colour-43
vertex-146 colour-28
vertex-147 colour-36
vertex-148 colour-33
vertex-149 colour-34
vertex-150 colour-4
vertex-151 colour-39
vertex-152 colour-1
vertex-153 colour-29
vertex-154 colour-38
vertex-155 colour-20
vertex-156 colour-44
vertex-157 colour-18
vertex-158 colour-31
vertex-159 colour-3
vertex-160 colour-19
vertex-161 colour-17
vertex-162 colour-13
vertex-163 colour-4
vertex-164 colour-46
vertex-165 colour-32
vertex-166 colour-36
vertex-167 colour-18
vertex-168 colour-24
vertex-169 colour-37
vertex-170 colour-42
vertex-171 colour-40
vertex-172 colour-40
vertex-173 colour-11
vertex-174 colour-33
vertex-175 colour-35
vertex-176 colour-10
vertex-177 colour-43
vertex-178 colour-24
vertex-179 colour-44
vertex-180 colour-48
vertex-181 colour-24
vertex-182 colour-34
vertex-183 colour-46
vertex-184 colour-41
vertex-185 colour-45
vertex-186 colour-43
vertex-187 colour-25
vertex-188 colour-37
vertex-189 colour-20
vertex-190 colour-30
vertex-191 colour-39
vertex-192 colour-17
vertex-193 colour-46
vertex-194 colour-45
vertex-195 colour-48
vertex-196 colour-28
vertex-197 colour-14
vertex-198 colour-34
vertex-199 colour-2
vertex-200 colour-23
vertex-201 colour-23
vertex-202 colour-52
vertex-203 colour-21
vertex-204 colour-42
vertex-205 colour-44
vertex-206 colour-44
vertex-207 colour-45
vertex-208 colour-53
vertex-209 colour-30
vertex-210 colour-41
vertex-211 colour-25
vertex-212 colour-50
vertex-213 colour-52
vertex-214 colour-55
vertex-215 colour-51
vertex-216 colour-33
vertex-217 colour-31
vertex-218 colour-21
vertex-219 colour-25
vertex-220 colour-49
vertex-221 colour-5
vertex-222 colour-2
vertex-223 colour-42
vertex-224 colour-12
vertex-225 colour-47
vertex-226 colour-15
vertex-227 colour-45
vertex-228 colour-39
vertex-229 colour-35
vertex-230 colour-54
vertex-231 colour-36
vertex-232 colour-22
vertex-233 colour-59
vertex-234 colour-51
vertex-235 colour-12
vertex-236 colour-30
vertex-237 colour-47
vertex-238 colour-40
vertex-239 colour-60
vertex-240 colour-61
vertex-241 colour-53
vertex-242 colour-54
vertex-243 colour-55
vertex-244 colour-8
vertex-245 colour-57
vertex-246 colour-38
vertex-247 colour-55
vertex-248 colour-21
vertex-249 colour-31
vertex-250 colour-25
vertex-251 colour-41
vertex-252 colour-33
vertex-253 colour-64
vertex-254 colour-54
vertex-255 colour-61
vertex-256 colour-52
vertex-257 colour-67
vertex-258 colour-38
vertex-259 colour-58
vertex-260 colour-53
vertex-261 colour-20
vertex-262 colour-55
vertex-263 colour-49
vertex-264 colour-60
vertex-265 colour-51
vertex-266 colour-69
vertex-267 colour-61
vertex-268 colour-48
vertex-269 colour-56
vertex-270 colour-59
vertex-271 colour-56
vertex-272 colour-61
vertex-273 colour-36
vertex-274 colour-62
vertex-275 colour-47
vertex-276 colour-39
vertex-277 colour-57
vertex-278 colour-69
vertex-279 colour-67
vertex-280 colour-62
vertex-281 colour-16
vertex-282 colour-52
vertex-283 colour-72
vertex-284 colour-33
vertex-285 colour-41
vertex-286 colour-40
vertex-287 colour-71
vertex-288 colour-56
vertex-289 colour-57
vertex-290 colour-60
vertex-291 colour-42
vertex-292 colour-41
vertex-293 colour-35
vertex-294 colour-41
vertex-295 colour-7
vertex-296 colour-53
vertex-297 colour-76
vertex-298 colour-39
vertex-299 colour-64
vertex-300 colour-22
vertex-301 colour-36
vertex-302 colour-69
vertex-303 colour-42
vertex-304 colour-65
vertex-305 colour-80
vertex-306 colour-71
vertex-307 colour-66
vertex-308 colour-3
vertex-309 colour-72
vertex-310 colour-53
vertex-311 colour-38
vertex-312 colour-60
vertex-313 colour-81
vertex-314 colour-28
vertex-315 colour-67
vertex-316 colour-43
vertex-317 colour-79
vertex-318 colour-86
vertex-319 colour-65
vertex-320 colour-50
vertex-321 colour-52
vertex-322 colour-89
vertex-323 colour-24
vertex-324 colour-52
vertex-325 colour-63
vertex-326 colour-47
vertex-327 colour-40
vertex-328 colour-52
vertex-329 colour-84
vertex-330 colour-18
vertex-331 colour-85
vertex-332 colour-47
vertex-333 colour-32
vertex-334 colour-48
vertex-335 colour-90
vertex-336 colour-62
vertex-337 colour-11
vertex-338 colour-45
vertex-339 colour-65
vertex-340 colour-56
vertex-341 colour-62
vertex-342 colour-32
vertex-343 colour-50
vertex-344 colour-32
vertex-345 colour-51
vertex-346 colour-89
vertex-347 colour-73
vertex-348 colour-86
vertex-349 colour-51
vertex-350 colour-70
vertex-351 colour-21
vertex-352 colour-93
vertex-353 colour-72
vertex-354 colour-89
vertex-355 colour-43
vertex-356 colour-49
vertex-357 colour-54
vertex-358 colour-60
vertex-359 colour-58
vertex-360 colour-42
vertex-361 colour-88
vertex-362 colour-48
vertex-363 colour-40
vertex-364 colour-58
vertex-365 colour-29
vertex-366 colour-63
vertex-367 colour-90
vertex-368 colour-29
vertex-369 colour-63
vertex-370 colour-9
vertex-371 colour-59
vertex-372 colour-92
vertex-373 colour-69
vertex-374 colour-78
vertex-375 colour-16
vertex-376 colour-64
vertex-377 colour-64
vertex-378 colour-59
vertex-379 colour-74
vertex-380 colour-37
vertex-381 colour-27
vertex-382 colour-92
vertex-383 colour-49
vertex-384 colour-76
vertex-385 colour-68
vertex-386 colour-46
vertex-387 colour-71
vertex-388 colour-79
vertex-389 colour-22
vertex-390 colour-48
vertex-391 colour-63
vertex-392 colour-82
vertex-393 colour-57
vertex-394 colour-82
vertex-395 colour-84
vertex-396 colour-46
vertex-397 colour-73
vertex-398 colour-94
vertex-399 colour-85
vertex-400 colour-26
vertex-401 colour-88
vertex-402 colour-67
vertex-403 colour-53
vertex-404 colour-73
vertex-405 colour-88
vertex-406 colour-54
vertex-407 colour-77
vertex-408 colour-63
vertex-409 colour-68
vertex-410 colour-59
vertex-411 colour-90
vertex-412 colour-66
vertex-413 colour-58
vertex-414 colour-100
vertex-415 colour-97
vertex-416 colour-78
vertex-417 colour-10
vertex-418 colour-98
vertex-419 colour-78
vertex-420 colour-75
vertex-421 colour-58
vertex-422 colour-89
